,return
FE.N,0.04331057290880608
K.N,0.05575835044624537
EBAY.OQ,0.1681776460392022
WSM.N,0.23471711172681514
NEM.N,0.0823944693846865
AIG.N,0.09947069579374186
WYNN.OQ,0.10455256645623708
VRTX.OQ,0.24769440196000952
DHI.N,0.22734542407721808
JBL.N,0.24242465702962582
IP.N,0.07125051205000334
EL.N,0.11209465024102251
MLM.N,0.17409973495524064
LYB.N,0.09580284824764253
VZ.N,0.02896217926512937
SLB.N,0.018332532105947326
AMAT.OQ,0.2588535713452159
PFG.OQ,0.11741245231307156
DVN.N,0.05315348387754418
SCHW.N,0.17108034808384873
MMC.N,0.14636865276118902
AWK.N,0.13195125525524093
TRV.N,0.125026340433373
TXN.OQ,0.13950553110895333
AMGN.OQ,0.1400433794192131
DTE.N,0.10127371148210261
HWM.N,0.21831405115856445
WM.N,0.13121020845184894
OMC.N,0.06083049354175192
URI.N,0.35121862622155087
SNPS.OQ,0.22904238597954535
CHRW.OQ,0.08282299774382429
CPT.N,0.07375630741597795
EQR.N,0.04975431604496649
ROK.N,0.156357682727643
PRU.N,0.0888013551207013
CAT.N,0.17093620422095515
SPGI.N,0.19753648350666975
PLD.N,0.1300524562335295
KO.N,0.06820938799224334
PHM.N,0.2611517165829714
DHR.N,0.15698557949895736
AXON.OQ,0.4601969293258277
STT.N,0.10716141990758049
BK.N,0.1231150733176477
IT.N,0.18218049916051549
NSC.N,0.13365168930758106
CDNS.OQ,0.28649810884486737
CB.N,0.12151503620045592
AZO.N,0.21028296386124007
WBD.OQ,0.0984499842718871
KMB.OQ,0.061926611421320665
EW.N,0.18870499856635684
MS.N,0.17149796001496265
CAH.N,0.14647081441896317
DXCM.OQ,0.3183944037913393
FIS.N,0.08665959610414573
WELL.N,0.13049398341097587
GOOGL.OQ,0.2290049941748852
CRM.N,0.20467233161139498
LRCX.OQ,0.3092610785136115
STLD.OQ,0.22001778418362186
QCOM.OQ,0.14030062842880153
CMG.N,0.18881746647903638
LLY.N,0.2467936499879978
MET.N,0.09820868429655967
PFE.N,0.05157537603154385
ARE.N,0.01731363705271945
PTC.OQ,0.1954516513115352
CMCSA.OQ,0.09076078515720408
ACGL.OQ,0.1770155042623281
TFC.N,0.08214121607524602
IEX.N,0.12585978271753664
C.N,0.10976451846401136
AXP.N,0.181567605202067
WRB.N,0.17565683150745476
BAC.N,0.14883300193735122
MSFT.OQ,0.2236220776869023
AMP.N,0.1873027819616041
HPQ.N,0.07905685399720776
GIS.N,0.03293356283589955
AEE.N,0.10043698203554083
ABT.N,0.1307313340235568
DLR.N,0.10620246452304338
ULTA.OQ,0.2577692423355643
FTNT.OQ,0.29805233258776315
RMD.N,0.1762689761885729
PWR.N,0.2636898923136851
MPWR.OQ,0.3500599506634783
RVTY.N,0.1280068753694233
DRI.N,0.14718819888073095
CF.N,0.153442223649117
DOC.N,0.0018598366651570112
BLDR.N,0.40865234775427767
ROL.N,0.18648809029183544
FISV.OQ,0.1405819409235255
TPR.N,0.12691972288752196
SYY.N,0.09853438980535167
UPS.N,0.05118837845559447
MKC.N,0.09100205349499224
AVY.N,0.1319140735557815
COO.OQ,0.14903076459700929
LULU.OQ,0.21494888315291144
IRM.N,0.1555170954409627
KEY.N,0.1102024077932072
MDT.N,0.0852167528376988
TSLA.OQ,0.5304249871756572
MDLZ.OQ,0.08792749651192805
CINF.OQ,0.13748673899626027
ES.N,0.07812682860417897
CSCO.OQ,0.10327296897793166
NRG.N,0.2117533989138356
NFLX.OQ,0.3809440070993155
APA.OQ,0.036712217073462665
ATO.N,0.13333992751468132
WY.N,0.06838399068398372
ORLY.OQ,0.24498905416671324
T.N,0.028012713246674717
GNRC.N,0.2538292358076486
CTSH.OQ,0.0927050882798889
VRSK.OQ,0.15380484537219882
ORCL.N,0.18307395035984292
XOM.N,0.06404852342328456
HSIC.OQ,0.09835599560661235
LYV.N,0.2476758373783796
CLX.N,0.05950601210737514
RL.N,0.14010734291761306
AVB.N,0.058094768639640915
DPZ.OQ,0.2570416222529125
ON.OQ,0.2125396019123562
ELV.N,0.15401338310934645
CHD.N,0.1290790396939876
CPB.OQ,0.011558488865808075
AFL.N,0.11999731244607753
HAL.N,0.08813843270624147
NUE.N,0.1413571404654078
CCI.N,0.07698855975171881
BLK.N,0.15635384227996157
GPN.N,0.1357679411087149
UNP.N,0.1328372718979617
EFX.N,0.16330247617182217
JPM.N,0.16972675523049985
CSX.OQ,0.1433891907550716
AMD.OQ,0.3810188147453314
COP.N,0.09658205024855972
TER.OQ,0.2583717073210708
WST.N,0.221206466941149
BA.N,0.15269140941335663
AMT.N,0.10896178971754134
LUV.N,0.10877827305424866
O.N,0.06647903516886035
EQIX.OQ,0.19203655954707535
RCL.N,0.2502221771016303
ADBE.OQ,0.20531448152010953
GRMN.N,0.16368494148987178
EQT.N,0.15799764558283422
RSG.N,0.14712521559779734
STE.N,0.15724043760986134
FDX.N,0.11261661386963746
TRMB.OQ,0.151870615150973
VTRS.OQ,0.02033233922882014
IPG.N,0.1063243198745584
BKR.OQ,0.09289437062161425
RF.N,0.15074221899419757
SBAC.OQ,0.13779662759130745
LHX.N,0.15131472280397018
PNW.N,0.07302091443215358
INCY.OQ,0.20099222378869194
COF.N,0.17459694403547188
OKE.N,0.14732311858220734
BIIB.OQ,0.1330889999644931
BSX.N,0.2113365852177386
AIZ.N,0.1386384653111841
RTX.N,0.12446016623623278
TECH.OQ,0.13559402008101684
BEN.N,0.009141265425355411
BX.N,0.22033260021956744
TXT.N,0.13584122929978845
ALGN.OQ,0.2424603940427047
NTRS.OQ,0.09642607461836578
SHW.N,0.2051049177670122
GE.N,0.1396177686143493
MSI.N,0.19267123630181804
TMO.N,0.18545587309996467
MCK.N,0.20122656668415342
BMY.N,0.06419792691921491
CHTR.OQ,0.16693012149271616
IFF.N,0.0467405490799897
TSCO.OQ,0.21262718902379515
MOH.N,0.22681470078165403
KDP.OQ,0.12205832207066286
MCO.N,0.22640061730503125
STZ.N,0.1701543335964662
LEN.N,0.20168600140797593
PSKY.OQ,0.08840571431396647
CL.N,0.059071487911179464
MRK.N,0.08337305051932571
CPRT.OQ,0.23336048279312605
MA.N,0.2346682480762338
UDR.N,0.05408525130859242
AAPL.OQ,0.24982118417584465
DUK.N,0.07103970802173329
DLTR.OQ,0.13462505767638444
BG.N,0.06669677349782031
SO.N,0.07775850433879694
